campo_64;campo_34;campo_36;campo_38;campo_53;campo_80;campo_39;campo_62;campo_61;campo_100;campo_22;campo_75;campo_70;campo_71;campo_72;campo_73;campo_69;campo_68;campo_84;campo_83;campo_74;campo_87;campo_86;campo_85;campo_94;campo_93;campo_7;campo_35;campo_37;campo_91;campo_101;campo_92;campo_26;campo_23;campo_97;campo_10;campo_11;campo_12;campo_13;campo_51;campo_81;campo_77;campo_76;campo_78;campo_79;campo_95;campo_46;campo_20;campo_2;campo_104;campo_60_cat;Presenta_union
Bajo;FONDOS Y SOCIEDADES DE INVERSION Y ENTIDADES FINANCIERAS SIMILARES;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;3051360.0;5401337.0;5450196.0;0.0;0.0;0.0;49824.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;43503892.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;-49824.0;-101676.0;0.0;SOCINV;PERSONA JURIDICA COMERCIAL;0.0;14.0;5;1
Bajo;ACTIVIDADES INMOBILIARIAS REALIZADAS CON BIENES PROPIOS O ARRENDADOS;1.0;1.0;0.0;1308771.0;1.0;0.0;12.0;0.0;0.0;0.0;11880890.0;11880890.0;9263349.0;0.0;0.0;165822.0;781731.0;3660000.0;3660000.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;3.0;12.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;2878269.0;1308771.0;3660000.0;INMO;PERSONA NATURAL;0.0;5.0;4;1
Medio;ACTIVIDADES AUXILIARES DE SERVICIOS FINANCIEROS, EXCEPTO LAS DE SEGUROS Y FONDOS DE PENSIONES;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;6137214.0;858363934.0;858363934.0;870836004.0;0.0;0.0;0.0;313326.0;13892034.0;13892034.0;13207.0;0.0;0.0;65877.0;0.0;0.0;2.0;0.0;0.0;0.0;4.0;2893995584.0;204620848.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;7441494.0;-12472070.0;0.0;INTFIN;PERSONA JURIDICA COMERCIAL;0.0;12.0;5;1
Bajo;FONDOS Y SOCIEDADES DE INVERSION Y ENTIDADES FINANCIERAS SIMILARES;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;28420532.0;35427937.0;0.0;0.0;0.0;9864430.0;2857025.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;12.0;2.0;2193810.0;25832306.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;-7007405.0;-37142516.0;0.0;SOCINV;PERSONA JURIDICA COMERCIAL;0.0;6.0;4;1
Bajo;ACTIVIDADES INMOBILIARIAS REALIZADAS CON BIENES PROPIOS O ARRENDADOS;0.0;0.0;0.0;25195822.0;2.0;1.0;17.0;0.0;2.0;0.0;131051529.0;177493633.0;150810257.0;3840404.0;1131452.0;0.0;35098056.0;60292236.0;60292236.0;0.0;0.0;0.0;1983259.0;0.0;0.0;0.0;0.0;1.0;12.0;3.0;546329130.0;57496612.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;27240629.0;27240629.0;25194180.0;25195822.0;55000356.0;INMO;PERSONA JURIDICA COMERCIAL;0.0;27.0;5;1
Bajo;FONDOS Y SOCIEDADES DE INVERSION Y ENTIDADES FINANCIERAS SIMILARES;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;11232676.0;11232676.0;11384676.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;569712.0;2948549.0;0.0;1.0;1.0;1.0;1.0;0.0;3.0;655060992.0;788590.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SOCINV;PERSONA JURIDICA COMERCIAL;0.0;4.0;3;1
Bajo;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;67009595.0;453211800.0;455534720.0;0.0;0.0;0.0;2194254.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;12.0;1.0;5021738880.0;65402072.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;-2322920.0;-13416674.0;0.0;ACTMAS3;PERSONA JURIDICA COMERCIAL;0.0;27.0;5;1
Clave;ACTIVIDADES INMOBILIARIAS REALIZADAS CON BIENES PROPIOS O ARRENDADOS;0.0;0.0;0.0;494077953.0;3.0;0.0;1.0;0.0;2.0;456051852.0;33891736142.0;38829063450.0;38784497977.0;0.0;101116631.0;0.0;2135361698.0;3364096175.0;2208788588.0;0.0;0.0;0.0;249744286.0;0.0;0.0;0.0;0.0;9.0;12.0;26.0;16926182187.0;16121793536.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;44565473.0;494077953.0;2208788588.0;INMO;PERSONA JURIDICA COMERCIAL;0.0;12.0;5;1
Bajo;ACTIVIDADES INMOBILIARIAS REALIZADAS CON BIENES PROPIOS O ARRENDADOS;0.0;0.0;0.0;155001505.0;2.0;1.0;2.0;0.0;4.0;21322133.0;2707071246.0;3680303645.0;3553318563.0;0.0;9028637.0;0.0;133361650.0;299471251.0;296511579.0;0.0;0.0;688794.0;221309085.0;0.0;0.0;0.0;0.0;0.0;12.0;13.0;11668438912.0;2206863360.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;28526654.0;28526654.0;146568476.0;155001505.0;284141014.0;INMO;PERSONA JURIDICA COMERCIAL;0.0;12.0;5;1
Medio;ACTIVIDADES DE SERVICIOS DE APOYO A LAS EMPRESAS N.C.P.;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1817081.0;0.0;0.0;14880583.0;0.0;1.0;0.0;0.0;0.0;1.0;5.0;0.0;2000000.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MINO;PERSONA JURIDICA COMERCIAL;1.0;6.0;4;1
Clave;IMPRESION Y ACTIVIDADES DE SERVICIOS RELACIONADAS CON LA IMPRESION;0.0;0.0;0.0;0.0;3.0;26.0;66.0;1.0;2.0;1542920752.0;3483507914.0;4816232056.0;4624727905.0;234493304.0;120902363.0;0.0;1067494698.0;3094609617.0;3094057666.0;583833581.0;827791955.0;318304622.0;3146432955.0;4431870939.0;0.0;0.0;0.0;11.0;12.0;152.0;8466240768.0;258125744.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;413490424.0;413490424.0;210914430.0;-330885896.0;2939380615.0;MANUFACT;PERSONA JURIDICA COMERCIAL;0.0;8.0;4;1
Bajo;ACTIVIDADES INMOBILIARIAS REALIZADAS CON BIENES PROPIOS O ARRENDADOS;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;1028354490.0;1028354490.0;1019878866.0;0.0;0.0;2325033.0;0.0;0.0;0.0;0.0;0.0;0.0;33458477.0;0.0;0.0;1.0;1.0;5.0;0.0;6.0;15468402048.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;NOVATOS;PERSONA JURIDICA COMERCIAL;0.0;2.0;3;1
