campo_64,campo_34,campo_36,campo_38,campo_53,campo_100,campo_6,campo_97,campo_10,campo_11,campo_12,campo_13,campo_51,campo_81,campo_46,campo_20,campo_1,campo_104,campo_60_cat,Presenta_union,campo_83_indpos,campo_95_indpos,Componente 1,Componente 2,Componente 3,Componente 4,Componente 5,Componente 6,Componente 7,Componente 8,Componente 9
1,8,1,1,0,-0.23145502494313785,0,1,1,1,0,0,0,-0.13130643285972257,4,0,0,-0.7671798441300159,1,1,0,0,0.6108872976579739,-0.9283429315746474,-0.1464453939525179,-0.6135795870596212,1.1967259780324064,0.4941083245271006,1.0867574052271667,0.6287316524370453,2.8412673205918595
1,8,1,1,0,4.320493798938574,0,1,1,1,0,0,0,-0.13130643285972257,4,0,0,0.4133690528074689,2,1,0,0,-3.4200832133856203,-1.0813693766385963,1.6915114652468617,-0.20852228403594483,1.1116255638532768,0.2850408306730646,1.00429974743074,-1.3649471881831963,-0.43272397509761024
1,8,0,0,0,-0.23145502494313785,1,1,1,1,0,1,0,-0.13130643285972257,3,1,1,1.3110616791298872,3,1,0,0,-0.7514173146600772,0.19341928308956732,-3.1778290807416614,2.6168163626176497,0.31464256607599633,0.062387192236455426,-1.6883279943593759,-0.38501738680585057,0.25446790429471416
0,15,0,0,0,-0.23145502494313785,1,1,1,1,0,1,0,-0.13130643285972257,2,0,1,1.3110616791298872,3,1,0,0,7.608305766439914,1.5945219585685966,3.6224807297094994,-0.5761881372850408,0.6645938008661355,-0.2462187834562304,-0.25793299802244246,0.06471623484395424,0.2976383929765773
1,8,0,0,0,-0.23145502494313785,0,1,1,1,0,1,0,-0.13130643285972257,4,0,0,0.8681409716554507,2,1,0,0,-0.9148147836717622,-0.5100952926010381,2.102714031643931,1.6713192069389071,-0.8131104725899846,-0.6633815005481898,-0.4199370960888463,1.0340420788120381,-0.15471868391761515
1,2,0,0,0,-0.23145502494313785,0,1,1,1,0,0,0,-0.13130643285972257,0,0,0,0.7320320518349281,2,1,0,0,0.05623509857589007,-1.35317433456939,-0.8664153686177926,1.018863160715722,-1.939876968642714,0.7343821592248262,-1.3382877710725112,-0.2911180977716925,0.14152880658799596
3,7,1,0,0,-0.23145502494313785,1,0,1,1,0,0,0,-0.13130643285972257,8,0,1,-1.566346318968047,0,1,0,0,-1.7711344897924883,3.815014731164964,-0.4437392077067972,-2.1499929580774313,-1.8832891256000854,0.48785862304462885,1.641183445222228,-0.35489530034091166,0.8646844831388182
2,19,0,0,0,-0.23145502494313785,0,0,1,1,0,0,0,-0.13130643285972257,6,0,0,1.0506950508623873,2,1,0,0,6.206820951211444,1.535856146582165,2.9653440684773686,0.20669133191776576,0.2738074770560885,0.26631361542093274,0.1013116054742221,-0.09615776787361179,0.9502874317789747
3,14,1,1,0,-0.23145502494313785,1,1,1,1,0,1,0,-0.13130643285972257,10,0,1,1.3110616791298872,3,1,0,0,-2.797683827525068,2.4882629221232415,-1.3831475065193874,-2.353926700859357,-1.5811493669764514,0.9478341598818282,1.3252477869649661,0.04449575779889669,-0.36693885934560855
1,8,0,0,1,-0.23145502494313785,0,1,1,1,0,1,0,-0.13130643285972257,4,0,0,-1.247683319940588,0,1,0,0,1.1309561392635719,0.576801179399362,1.8315392410758644,1.6506593498964528,0.3253451992318662,1.9539400008785632,-1.1338027370720543,0.48884202982972147,1.5944343754897408
1,14,1,1,0,-0.23145502494313785,0,0,1,0,0,1,0,-0.13130643285972257,10,0,0,0.3212039932421299,2,1,0,0,-3.928298252776164,-0.1196002144718052,0.7795156258344013,-0.5423179626345845,1.0149903240367322,-1.0011708872741614,-0.14957015948594907,0.3917921214842112,-0.6112744847931675
